CS452,Internet Protocols,3-0-0,6,AA
CS453,Wireless Sensor Networks,3-0-0,6,AA
CS499,Project - II,0-0-16,16,AA
HS441,Industrial and Organizational Psychology,3-0-0,6,AB
PH403,Photovoltaics & Fuel Cell Technology,3-0-0,6,AB
