CS301,Formal Language and Automata,3-0-0,6,AB
CS331,Programming Language,3-0-2,8,AB
CS341,Operating Systems,3-0-0,6,AA
CS342,Operating Systems Laboratory,0-1-3,5,AB
CS343,Data Communications,3-0-0,6,AB
CS344,Databases,3-0-0,6,BB
CS345,Databases Laboratory,0-1-3,5,AA
